city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Vadodara,Vadodara,22.3,73.2,India,IN,IND,Gujarāt,,2065771,1356705249
Rājkot,Rajkot,22.3,70.7833,India,IN,IND,Gujarāt,,2043000,1356317190
Vishākhapatnam,Vishakhapatnam,17.7042,83.2978,India,IN,IND,Andhra Pradesh,,2035922,1356692563
Indore,Indore,22.7167,75.8472,India,IN,IND,Madhya Pradesh,,1994397,1356402812
Abhepur,Abhepur,39.41,116.38,India,IN,IND,Haryāna,,1895686,1356324522
Thāne,Thane,19.1972,72.9722,India,IN,IND,Mahārāshtra,,1886941,1356681152
Bhopāl,Bhopal,23.2599,77.4126,India,IN,IND,Madhya Pradesh,admin,1798218,1356734039
Āgra,Agra,27.18,78.02,India,IN,IND,Uttar Pradesh,,1760285,1356187395
Peyanvilai,Peyanvilai,8.9,77.9833,India,IN,IND,Tamil Nādu,,1750176,1356214129
Pimpri-Chinchwad,Pimpri-Chinchwad,18.6186,73.8037,India,IN,IND,Mahārāshtra,,1729320,1356475483
Patna,Patna,25.594,85.1376,India,IN,IND,Bihār,admin,1684222,1356821429
Bilāspur,Bilaspur,22.09,82.15,India,IN,IND,Chhattīsgarh,,1625502,1356820491
Ludhiāna,Ludhiana,30.91,75.85,India,IN,IND,Punjab,,1618879,1356929498
Madurai,Madurai,9.9252,78.1198,India,IN,IND,Tamil Nādu,minor,1561129,1356257289
Jamshedpur,Jamshedpur,22.7925,86.1842,India,IN,IND,Jhārkhand,,1558000,1356501259
Nāsik,Nasik,19.9975,73.7898,India,IN,IND,Mahārāshtra,,1486053,1356562598
Vijayavāda,Vijayawada,16.5193,80.6305,India,IN,IND,Andhra Pradesh,,1476931,1356807575
Farīdābād,Faridabad,28.4211,77.3078,India,IN,IND,Haryāna,,1404653,1356013205
Najafgarh,Najafgarh,28.6125,76.9847,India,IN,IND,Delhi,,1365152,1356180206
Meerut,Meerut,28.98,77.71,India,IN,IND,Uttar Pradesh,,1305429,1356390476
Jabalpur,Jabalpur,23.1667,79.9333,India,IN,IND,Madhya Pradesh,,1267564,1356115460
Kalyān,Kalyan,19.24,73.13,India,IN,IND,Mahārāshtra,,1246381,1356172246
Vasai-Virar,Vasai-Virar,19.47,72.8,India,IN,IND,Mahārāshtra,,1221233,1356707797
Pānīpat,Panipat,29.3875,76.97,India,IN,IND,Haryāna,,1202811,1356526780
Vārānasi,Varanasi,25.3189,83.0128,India,IN,IND,Uttar Pradesh,,1198491,1356145782
Kalleli,Kalleli,9.2807,76.8697,India,IN,IND,Kerala,,1197412,1356160389
Srīnagar,Srinagar,34.09,74.79,India,IN,IND,Jammu and Kashmīr,admin,1180570,1356442950
Aurangābād,Aurangabad,19.88,75.32,India,IN,IND,Mahārāshtra,,1175116,1356840670
Dhanbād,Dhanbad,23.7998,86.4305,India,IN,IND,Jhārkhand,,1162472,1356103392
Amritsar,Amritsar,31.64,74.86,India,IN,IND,Punjab,,1132383,1356926507
Alīgarh,Aligarh,27.88,78.08,India,IN,IND,Uttar Pradesh,,1131160,1356076391
Guwāhāti,Guwahati,26.1722,91.7458,India,IN,IND,Assam,,1116267,1356593800
Hāora,Haora,22.58,88.3294,India,IN,IND,West Bengal,,1077075,1356986516
Rānchi,Ranchi,23.36,85.33,India,IN,IND,Jhārkhand,admin,1073440,1356110588
Gwalior,Gwalior,26.2125,78.1775,India,IN,IND,Madhya Pradesh,,1069276,1356363967
Chandīgarh,Chandigarh,30.75,76.78,India,IN,IND,,admin,1055450,1356739179
Jodhpur,Jodhpur,26.28,73.02,India,IN,IND,Rājasthān,,1033918,1356727084
Raipur,Raipur,21.2444,81.6306,India,IN,IND,Chhattīsgarh,admin,1010087,1356374983
Kota,Kota,25.18,75.83,India,IN,IND,Rājasthān,,1001694,1356820310
Bareilly,Bareilly,28.3667,79.4306,India,IN,IND,Uttar Pradesh,,1000000,1356698199
Coimbatore,Coimbatore,11.0008,76.9633,India,IN,IND,Tamil Nādu,,959823,1356999503
Solāpur,Solapur,17.68,75.92,India,IN,IND,Mahārāshtra,,951558,1356314385
Hubli,Hubli,15.3502,75.1376,India,IN,IND,Karnātaka,,943788,1356422270
Mysore,Mysore,12.3086,76.6531,India,IN,IND,Karnātaka,,920550,1356779323
Trichinopoly,Trichinopoly,10.7903,78.7047,India,IN,IND,Tamil Nādu,,916857,1356884472
Morādābād,Moradabad,28.8319,78.7764,India,IN,IND,Uttar Pradesh,,889810,1356269375
Tiruppūr,Tiruppur,11.1085,77.3411,India,IN,IND,Tamil Nādu,,877778,1356539761
Gurgaon,Gurgaon,28.456,77.029,India,IN,IND,Haryāna,,876824,1356836043
Jalandhar,Jalandhar,31.326,75.5762,India,IN,IND,Punjab,,873725,1356494816
Bhubaneshwar,Bhubaneshwar,20.27,85.84,India,IN,IND,Odisha,admin,837737,1356140143
Narela,Narela,28.85,77.1,India,IN,IND,Delhi,,809913,1356542019
Bhayandar,Bhayandar,19.29,72.85,India,IN,IND,Mahārāshtra,,809378,1356019118
Karīmnagar,Karimnagar,18.4386,79.1288,India,IN,IND,Andhra Pradesh,,797447,1356578937
Patiāla,Patiala,30.34,76.38,India,IN,IND,Punjab,,763280,1356458416
Shīshgarh,Shishgarh,28.72,79.32,India,IN,IND,Uttar Pradesh,,753815,1356494610
Thiruvananthapuram,Thiruvananthapuram,8.5241,76.9366,India,IN,IND,Kerala,admin,743691,1356024354
Durgāpur,Durgapur,23.55,87.32,India,IN,IND,West Bengal,,726000,1356045686
Bhiwandi,Bhiwandi,19.2967,73.0631,India,IN,IND,Mahārāshtra,,709665,1356763571
Bhīlwāra,Bhilwara,25.35,74.63,India,IN,IND,Rājasthān,,709483,1356077831
Sahāranpur,Saharanpur,29.9639,77.5458,India,IN,IND,Uttar Pradesh,,705478,1356139858
Warangal,Warangal,17.9689,79.5941,India,IN,IND,Andhra Pradesh,,704570,1356851618
Shiliguri,Shiliguri,26.71,88.43,India,IN,IND,West Bengal,,701489,1356724691
Salem,Salem,11.65,78.15,India,IN,IND,Tamil Nādu,,693236,1356567087
Kochi,Kochi,9.9312,76.2673,India,IN,IND,Kerala,,677381,1356707865
Gorakhpur,Gorakhpur,26.7637,83.4039,India,IN,IND,Uttar Pradesh,,673446,1356190221
Guntūr,Guntur,16.3008,80.4428,India,IN,IND,Andhra Pradesh,,670073,1356374905
Karaikandi,Karaikandi,24.8309,92.6143,India,IN,IND,Assam,,659260,1356669973
Haldwāni,Haldwani,29.22,79.52,India,IN,IND,Uttarākhand,,656000,1356040854
Dhūlia,Dhulia,20.8997,74.7697,India,IN,IND,Mahārāshtra,,655603,1356224695
Bhāvnagar,Bhavnagar,21.76,72.15,India,IN,IND,Gujarāt,,643382,1356982375
Noida,Noida,28.57,77.32,India,IN,IND,Uttar Pradesh,,637272,1356002491
Bhāngar,Bhangar,22.58,88.42,India,IN,IND,West Bengal,,634107,1356177796
Bhilai,Bhilai,21.21,81.38,India,IN,IND,Chhattīsgarh,,624700,1356098574
Mangalore,Mangalore,12.8717,74.8425,India,IN,IND,Karnātaka,,623841,1356972351
Bihtā,Bihta,25.5619,84.87,India,IN,IND,Bihār,,617427,1356234338
Hasanpur,Hasanpur,28.72,78.28,India,IN,IND,Uttar Pradesh,,611533,1356082728
Cuttack,Cuttack,20.5236,85.7881,India,IN,IND,Odisha,,606007,1356872061
Salīmpur,Salimpur,26.3,83.9167,India,IN,IND,Uttar Pradesh,,604483,1356110964
Raurkela,Raurkela,22.2492,84.8828,India,IN,IND,Odisha,,600000,1356096816
Tumkūr,Tumkur,13.34,77.1,India,IN,IND,Karnātaka,,599078,1356033724
Dehra Dūn,Dehra Dun,30.345,78.029,India,IN,IND,Uttarākhand,admin,578420,1356970407
Kottayam,Kottayam,9.5916,76.5222,India,IN,IND,Kerala,,571856,1356307269
Āsansol,Asansol,23.68,86.99,India,IN,IND,West Bengal,,563917,1356093694
Bokaro Steel City,Bokaro Steel City,23.67,86.15,India,IN,IND,Jhārkhand,,563417,1356201241
Kolhāpur,Kolhapur,16.6917,74.2333,India,IN,IND,Mahārāshtra,,561489,1356110593
Nava Raipur,Nava Raipur,21.161,81.787,India,IN,IND,Chhattīsgarh,,560000,1356090025
Ajmer,Ajmer,26.4499,74.6399,India,IN,IND,Rājasthān,,551101,1356058258
Nānded,Nanded,19.15,77.3,India,IN,IND,Mahārāshtra,,550439,1356722310
Amrāvati,Amravati,20.9258,77.7647,India,IN,IND,Mahārāshtra,,549370,1356462099
Nellore,Nellore,14.4431,79.9861,India,IN,IND,Andhra Pradesh,,547621,1356280972
Dispur,Dispur,26.1397,91.7925,India,IN,IND,Assam,admin,534872,1356960169
Gulbarga,Gulbarga,17.329,76.825,India,IN,IND,Karnātaka,,533587,1356091187
Bīkaner,Bikaner,28.0167,73.3119,India,IN,IND,Rājasthān,,529007,1356026593
Agartala,Agartala,23.8314,91.2869,India,IN,IND,Tripura,admin,522613,1356148992
Chānda,Chanda,19.95,79.297,India,IN,IND,Mahārāshtra,,518000,1356592607
Loni,Loni,28.75,77.28,India,IN,IND,Uttar Pradesh,,516082,1356528413
Ujjain,Ujjain,23.17,75.79,India,IN,IND,Madhya Pradesh,,515215,1356050735
Jhānsi,Jhansi,25.4486,78.5696,India,IN,IND,Uttar Pradesh,,507000,1356712664
Ulhāsnagar,Ulhasnagar,19.22,73.15,India,IN,IND,Mahārāshtra,,506098,1356375341
Jammu,Jammu,32.73,74.87,India,IN,IND,Jammu and Kashmīr,admin,502197,1356491738
Tuticorin,Tuticorin,8.8056,78.145,India,IN,IND,Tamil Nādu,,500000,1356751023
Purnea,Purnea,25.778,87.476,India,IN,IND,Bihār,,496830,1356486511
Belgaum,Belgaum,15.85,74.5,India,IN,IND,Karnātaka,,488157,1356390535
Vellore,Vellore,12.9165,79.1325,India,IN,IND,Tamil Nādu,,484690,1356977661
Mālegaon,Malegaon,20.55,74.55,India,IN,IND,Mahārāshtra,,481228,1356113556
Jāmnagar,Jamnagar,22.47,70.07,India,IN,IND,Gujarāt,,479920,1356104995
Bārdoli,Bardoli,21.12,73.12,India,IN,IND,Gujarāt,,475963,1356054525
Gaya,Gaya,24.75,85.01,India,IN,IND,Bihār,,474093,1356045727
Ambattūr,Ambattur,13.1143,80.1548,India,IN,IND,Tamil Nādu,,466205,1356685959
Jalgaon,Jalgaon,21.004,75.568,India,IN,IND,Mahārāshtra,,460468,1356734842
Chhatarpur,Chhatarpur,24.55,79.3527,India,IN,IND,Madhya Pradesh,,459943,1356776353
Kurnool,Kurnool,15.83,78.05,India,IN,IND,Andhra Pradesh,,457633,1356058372
Udaipur,Udaipur,24.58,73.68,India,IN,IND,Rājasthān,,451100,1356266094
Wāpi,Wapi,20.372,72.917,India,IN,IND,,,450000,1356248785
Mathura,Mathura,27.4925,77.6736,India,IN,IND,Uttar Pradesh,,441894,1356066081
Sāngli,Sangli,16.853,74.583,India,IN,IND,Mahārāshtra,,436639,1356921375
Davangere,Davangere,14.4666,75.9242,India,IN,IND,Karnātaka,,435125,1356445061
Calicut,Calicut,11.2588,75.7804,India,IN,IND,Kerala,minor,431560,1356010401
Mothīhāri,Mothihari,26.65,84.9167,India,IN,IND,Bihār,,426158,1356540032
Akola,Akola,20.7,77,India,IN,IND,Mahārāshtra,,425817,1356089496
Bettiah,Bettiah,26.8014,84.5028,India,IN,IND,Bihār,,414453,1356590604
Shorāpur,Shorapur,16.52,76.76,India,IN,IND,Karnātaka,,412291,1356512373
Tinnevelly,Tinnevelly,8.7136,77.7567,India,IN,IND,Tamil Nādu,,411298,1356037155
Bellary,Bellary,15.1,76.9167,India,IN,IND,Karnātaka,,410445,1356209152
Bhāgalpur,Bhagalpur,25.25,87,India,IN,IND,Bihār,,410210,1356760990
Manampizha,Manampizha,9.2972,76.65,India,IN,IND,Kerala,,409271,1356160337
Delhi Cantonment,Delhi Cantonment,28.6,77.1333,India,IN,IND,Delhi,,405633,1356526853
Salt Lake City,Salt Lake City,22.61,88.4,India,IN,IND,West Bengal,,403316,1356720205
Etāwa,Etawa,24.18,78.2,India,IN,IND,Madhya Pradesh,,402678,1356950925
Sonīpat,Sonipat,28.99,77.022,India,IN,IND,Haryāna,,402000,1356648808
Quilon,Quilon,8.8932,76.6141,India,IN,IND,Kerala,,397419,1356304110
Mulangodi,Mulangodi,9,76.6167,India,IN,IND,Kerala,,397419,1356160605
Munro Turuttu,Munro Turuttu,9,76.6167,India,IN,IND,Kerala,,397419,1356163281
Karūr,Karur,10.9601,78.0766,India,IN,IND,Tamil Nādu,,394719,1356837900
Jālna,Jalna,19.841,75.8864,India,IN,IND,Mahārāshtra,,393000,1356730545
Bairia,Bairia,25.7583,84.1489,India,IN,IND,Uttar Pradesh,,386745,1356189784
Bhātpāra,Bhatpara,22.87,88.41,India,IN,IND,West Bengal,,386019,1356022456
Sirūr,Sirur,18.83,74.38,India,IN,IND,Mahārāshtra,,385414,1356926718
Kākināda,Kakinada,16.9661,82.255,India,IN,IND,Andhra Pradesh,,384182,1356573609
Pānihāti,Panihati,22.69,88.37,India,IN,IND,West Bengal,,377347,1356118632
Rohtak,Rohtak,28.8909,76.5796,India,IN,IND,Haryāna,,374292,1356162915
Māler Kotla,Maler Kotla,30.5167,75.8833,India,IN,IND,Punjab,,374000,1356847218
Kolga,Kolga,22.35,82.68,India,IN,IND,Chhattīsgarh,,365253,1356470898
Korba,Korba,22.3458,82.6963,India,IN,IND,Chhattīsgarh,,365253,1356093877
Sīkar,Sikar,27.62,75.15,India,IN,IND,Rājasthān,,359293,1356163729
Sasarām,Sasaram,24.95,84.03,India,IN,IND,Bihār,,358283,1356061200
Karnāl,Karnal,29.686,76.989,India,IN,IND,Haryāna,,357334,1356145204
Brahmapur,Brahmapur,19.315,84.7941,India,IN,IND,Odisha,,355823,1356569354
Ahmadnagar,Ahmadnagar,19.08,74.73,India,IN,IND,Mahārāshtra,,350859,1356972679
Shāhjānpur,Shahjanpur,27.88,79.91,India,IN,IND,Uttar Pradesh,,346103,1356415439
Āvadi,Avadi,13.1147,80.1098,India,IN,IND,Tamil Nādu,,345996,1356009111
Khānāpur,Khanapur,15.6394,74.5083,India,IN,IND,Karnātaka,,345839,1356772159
Cuddapah,Cuddapah,14.47,78.82,India,IN,IND,Andhra Pradesh,,344893,1356360140
Alamādi,Alamadi,13.1097,80.0972,India,IN,IND,Tamil Nādu,,344701,1356716431
Rājahmundry,Rajahmundry,16.98,81.78,India,IN,IND,Andhra Pradesh,,341831,1356831716
Alwar,Alwar,27.5498,76.6355,India,IN,IND,Rājasthān,,341422,1356570855
Sambalpur,Sambalpur,21.47,83.97,India,IN,IND,Odisha,,335761,1356772339
Muzaffarpur,Muzaffarpur,26.1225,85.3906,India,IN,IND,Bihār,,333200,1356897425
Kāmārhāti,Kamarhati,22.6686,88.3704,India,IN,IND,West Bengal,,330211,1356676559
Campīernagar,Campiernagar,27.029,83.2668,India,IN,IND,Uttar Pradesh,,329104,1356103973
Bijāpur,Bijapur,16.83,75.71,India,IN,IND,Karnātaka,,327427,1356499139
Ratnāgiri,Ratnagiri,16.9944,73.3,India,IN,IND,Mahārāshtra,,327120,1356990175
Jagdalpur,Jagdalpur,19.18,81.92,India,IN,IND,Chhattīsgarh,,325463,1356443381
Rāmpur,Rampur,28.8,79,India,IN,IND,Uttar Pradesh,,325248,1356666569
Shimoga,Shimoga,13.9333,75.5667,India,IN,IND,Karnātaka,,322650,1356016156
Kāshīpur,Kashipur,29.22,78.95,India,IN,IND,Uttarākhand,,321623,1356044207
Jūnāgadh,Junagadh,21.5222,70.4579,India,IN,IND,Gujarāt,,320250,1356057451
Hāpur,Hapur,28.7309,77.7757,India,IN,IND,Uttar Pradesh,,317004,1356820012
Pattikād,Pattikad,10.5276,76.2144,India,IN,IND,Kerala,,315957,1356510769
Trichūr,Trichur,10.5276,76.2144,India,IN,IND,Kerala,,315596,1356589298
Barddhamān,Barddhaman,23.2333,87.8667,India,IN,IND,West Bengal,,314265,1356062166
Panvel,Panvel,18.9944,73.1139,India,IN,IND,Mahārāshtra,,311434,1356424574
Nizāmābād,Nizamabad,18.672,78.094,India,IN,IND,Andhra Pradesh,,311152,1356242168
Parbhani,Parbhani,19.27,76.78,India,IN,IND,Mahārāshtra,,307170,1356632842
Hisar,Hisar,29.15,75.7,India,IN,IND,Haryāna,,307024,1356004790
Fatehpur,Fatehpur,27.98,74.95,India,IN,IND,Rājasthān,,305638,1356931375
Birania,Birania,27.98,74.95,India,IN,IND,Madhya Pradesh,,305638,1356460246
Kāraikkudi,Karaikkudi,10.0735,78.7732,India,IN,IND,Tamil Nādu,,303291,1356512763
Lachhmangarh Sīkar,Lachhmangarh Sikar,27.8225,75.0253,India,IN,IND,Rājasthān,,302956,1356216971
Oulgaret,Oulgaret,11.9265,79.7789,India,IN,IND,Puducherry,,300104,1356242623
Ingrāj Bāzār,Ingraj Bazar,25.0119,88.1433,India,IN,IND,West Bengal,,300088,1356142829
Bada Barabīl,Bada Barabil,22.12,85.4,India,IN,IND,Odisha,,300000,1356293872
Bihār,Bihar,25.197,85.518,India,IN,IND,Bihār,,297268,1356002333
Darbhanga,Darbhanga,26.17,85.9,India,IN,IND,Bihār,,296039,1356846195
Idar,Idar,23.839,73.002,India,IN,IND,Gujarāt,,295971,1356039967
Sikandarābād,Sikandarabad,28.4512,77.6955,India,IN,IND,Uttar Pradesh,,294858,1356989226
Āīzawl,Aizawl,23.7272,92.7178,India,IN,IND,Mizoram,admin,293416,1356342768
Bāli,Bali,22.65,88.34,India,IN,IND,West Bengal,,293373,1356113138
Surajgarha,Surajgarha,25.25,86.23,India,IN,IND,Bihār,,290998,1356762117
Nāgercoil,Nagercoil,8.175,77.4306,India,IN,IND,Tamil Nādu,,289916,1356051733
Dewās,Dewas,22.96,76.06,India,IN,IND,Madhya Pradesh,,289550,1356065731
Sonpur,Sonpur,25.7,85.18,India,IN,IND,Bihār,,288102,1356149014
Hugli,Hugli,22.9,88.39,India,IN,IND,West Bengal,,288090,1356109548
Chunchura,Chunchura,22.9,88.39,India,IN,IND,West Bengal,,288090,1356979106
Ichalkaranji,Ichalkaranji,16.7,74.47,India,IN,IND,Mahārāshtra,,287570,1356651502
Tirupati,Tirupati,13.65,79.42,India,IN,IND,Andhra Pradesh,,287482,1356362995
Bhatinda,Bhatinda,30.23,74.9519,India,IN,IND,Punjab,,285813,1356343054
Satna,Satna,24.6005,80.8322,India,IN,IND,Madhya Pradesh,,283004,1356008295
Mau,Mau,25.9417,83.5611,India,IN,IND,Uttar Pradesh,,278745,1356238859
Bārāsat,Barasat,22.72,88.48,India,IN,IND,West Bengal,,278435,1356644721
Farrukhābād,Farrukhabad,27.39,79.581,India,IN,IND,Uttar Pradesh,,275754,1356776384
Saugor,Saugor,23.83,78.71,India,IN,IND,Madhya Pradesh,,274556,1356781800
Khorabar,Khorabar,26.741,83.888,India,IN,IND,Uttar Pradesh,,274403,1356389767
Ratlām,Ratlam,23.334,75.037,India,IN,IND,Madhya Pradesh,,273892,1356241663
Handwāra,Handwara,34.3997,74.2817,India,IN,IND,Jammu and Kashmīr,,269311,1356080179
Drug,Drug,21.19,81.28,India,IN,IND,Chhattīsgarh,,268806,1356910418
Anantapur,Anantapur,14.68,77.599,India,IN,IND,Andhra Pradesh,,267161,1356296545
Imphāl,Imphal,24.8074,93.9384,India,IN,IND,Manipur,admin,264986,1356107172
Arrah,Arrah,25.5514,84.6603,India,IN,IND,Bihār,,261430,1356085605
Sivakāsi,Sivakasi,9.4533,77.8024,India,IN,IND,Tamil Nādu,,260047,1356111487
Etāwah,Etawah,26.77,79.03,India,IN,IND,Uttar Pradesh,,256838,1356241312
Malkājgiri,Malkajgiri,17.4519,78.5362,India,IN,IND,Andhra Pradesh,,255899,1356092535
Tuni,Tuni,17.35,82.55,India,IN,IND,Andhra Pradesh,,254425,1356073049
Amarnāth,Amarnath,19.209,73.186,India,IN,IND,Mahārāshtra,,253475,1356251326
Rāpar,Rapar,23.57,70.63,India,IN,IND,Gujarāt,,253137,1356119017
Samāstipur,Samastipur,25.8629,85.7811,India,IN,IND,Bihār,,253136,1356801161
Gokāk,Gokak,16.1667,74.8333,India,IN,IND,Karnātaka,,253000,1356269894
Bharatpur,Bharatpur,27.22,77.48,India,IN,IND,Rājasthān,,252342,1356168278
Begusarai,Begusarai,25.42,86.13,India,IN,IND,Bihār,,252008,1356619346
Nedumana,Nedumana,8.9139,76.6889,India,IN,IND,Kerala,,251384,1356161987
New Delhi,New Delhi,28.6139,77.2089,India,IN,IND,Delhi,primary,249998,1356215164
Tiruvottiyūr,Tiruvottiyur,13.16,80.3,India,IN,IND,Tamil Nādu,,249446,1356964110
Rāmnagar,Ramnagar,27.17,84.32,India,IN,IND,Bihār,,249102,1356673115
Gāndhīdhām,Gandhidham,23.08,70.13,India,IN,IND,Gujarāt,,248705,1356140913
Salūmbar,Salumbar,24.08,74.02,India,IN,IND,Rājasthān,,248337,1356580244
Puducherry,Puducherry,11.9167,79.8167,India,IN,IND,Puducherry,admin,244377,1356368903
Kanpur,Kanpur,26.4499,80.3319,India,IN,IND,Uttar Pradesh,,243800,1356575238
Rāmgundam,Ramgundam,18.7639,79.475,India,IN,IND,Andhra Pradesh,,242979,1356590864
Pandharpur,Pandharpur,17.6778,75.3278,India,IN,IND,Mahārāshtra,,242515,1356852072
Masaurhi Buzurg,Masaurhi Buzurg,25.35,85.02,India,IN,IND,Bihār,,241216,1356191575
Alleppey,Alleppey,9.49,76.33,India,IN,IND,Kerala,,240991,1356293762
Katihār,Katihar,25.53,87.58,India,IN,IND,Bihār,,240565,1356099841
Ahor,Ahor,25.367,72.783,India,IN,IND,Rājasthān,,239642,1356319779
Gangānagar,Ganganagar,29.92,73.88,India,IN,IND,Rājasthān,,237780,1356431302
Tinkhang,Tinkhang,27.23,95.17,India,IN,IND,Assam,,236571,1356170627
Rewa,Rewa,24.5381,81.2953,India,IN,IND,Madhya Pradesh,,236519,1356642255
Uluberiya,Uluberiya,22.47,88.11,India,IN,IND,West Bengal,,235345,1356354610
Bulandshahr,Bulandshahr,28.4069,77.8497,India,IN,IND,Uttar Pradesh,,235310,1356067648
Rāichūr,Raichur,16.2,77.37,India,IN,IND,Karnātaka,,234073,1356217280
Chauhanpatti,Chauhanpatti,25.15,82.6,India,IN,IND,Uttar Pradesh,,233691,1356457777
Cannanore,Cannanore,11.8745,75.3704,India,IN,IND,Kerala,,232486,1356147157
Machilīpatnam,Machilipatnam,16.17,81.13,India,IN,IND,Andhra Pradesh,,232000,1356067784
Pāli,Pali,25.77,73.33,India,IN,IND,Rājasthān,,229956,1356212172
Songadh,Songadh,21.167,73.564,India,IN,IND,Gujarāt,,229782,1356550633
Gadda Madiral,Gadda Madiral,18.7519,79.5133,India,IN,IND,Andhra Pradesh,,229644,1356055274
Hosūr,Hosur,12.7409,77.8253,India,IN,IND,Tamil Nādu,,229528,1356829362
Haridwār,Haridwar,29.945,78.163,India,IN,IND,Uttarākhand,,228832,1356090741
Vizianagaram,Vizianagaram,18.1159,83.406,India,IN,IND,Andhra Pradesh,,228720,1356212761
Pāthardi,Pathardi,19.17,75.18,India,IN,IND,Mahārāshtra,,228279,1356126088
Mel Pālaiyam,Mel Palaiyam,8.7,77.7069,India,IN,IND,Tamil Nādu,,227895,1356249420
Khatīma,Khatima,28.9198,79.9699,India,IN,IND,Uttarākhand,,227226,1356442679
Petlād,Petlad,22.47,72.8,India,IN,IND,Gujarāt,,227031,1356943594
Pudukkottai,Pudukkottai,10.3833,78.8001,India,IN,IND,Tamil Nādu,,225500,1356619182
Nadiād,Nadiad,22.69,72.86,India,IN,IND,Gujarāt,,225132,1356992385
Tanjore,Tanjore,10.787,79.1378,India,IN,IND,Tamil Nādu,,222943,1356599194
Kichha,Kichha,28.92,79.5,India,IN,IND,Uttarākhand,,221965,1356016973
Katri,Katri,23.48,80.4,India,IN,IND,Madhya Pradesh,,221875,1356636912
Dagarua,Dagarua,25.8,87.64,India,IN,IND,Bihār,,221229,1356757539
Sambhal,Sambhal,28.58,78.55,India,IN,IND,Uttar Pradesh,,220813,1356376216
Singrauliya,Singrauliya,24.202,82.666,India,IN,IND,Madhya Pradesh,,220257,1356985698
Naihāti,Naihati,22.89,88.42,India,IN,IND,West Bengal,,217900,1356715598
Jaynagar,Jaynagar,26.5925,86.1372,India,IN,IND,Bihār,,217820,1356588241
Yamunānagar,Yamunanagar,30.133,77.288,India,IN,IND,Haryāna,,216628,1356846120
Pallāvaram,Pallavaram,12.9675,80.1491,India,IN,IND,Tamil Nādu,,215417,1356057661
Khargone,Khargone,21.82,75.6187,India,IN,IND,Madhya Pradesh,,215000,1356728712
Secunderābād,Secunderabad,17.4399,78.4983,India,IN,IND,Andhra Pradesh,,213698,1356779437
Monghyr,Monghyr,25.381,86.465,India,IN,IND,Bihār,,213101,1356280102
Chāpra,Chapra,25.7848,84.7274,India,IN,IND,Bihār,,212955,1356147120
Bhadrāvati,Bhadravati,13.8485,75.705,India,IN,IND,Karnātaka,,212073,1356466241
Panchkula,Panchkula,30.74,76.8,India,IN,IND,Haryāna,minor,211355,1356152025
Burhānpur,Burhanpur,21.3114,76.2289,India,IN,IND,Madhya Pradesh,,210891,1356857493
Kāpra,Kapra,17.4859,78.5651,India,IN,IND,Andhra Pradesh,,209882,1356304297
Nowgong,Nowgong,26.3504,92.6796,India,IN,IND,Assam,,209000,1356273589
Ambāla,Ambala,30.38,76.78,India,IN,IND,Haryāna,,207934,1356947216
